City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,shelburne,44.0787,-80.2041,22.76600000000001,84,95,4.95,CA,1678363613
245,boueni,-12.9025,45.0761,89.58200000000002,71,81,5.66,YT,1678363614
246,hearst,49.6835,-83.6665,-5.547999999999973,100,100,1.4,CA,1678363442
247,severo-kurilsk,50.6789,156.125,27.62600000000009,86,77,7.27,RU,1678363617
248,bonthe,7.5264,-12.505,87.00800000000001,59,89,3.7,SL,1678363619
249,teya,60.3778,92.6267,-3.1359999999999673,89,100,4.26,RU,1678363621
250,kirakira,-10.4544,161.9205,78.908,85,77,1.68,SB,1678363622
251,vao,-22.6667,167.4833,77.59400000000008,73,77,7.56,NC,1678363624
252,at-bashi,41.1702,75.8106,30.758000000000003,86,85,0.29,KG,1678363626
253,bambanglipuro,-7.95,110.2833,78.58399999999999,82,34,1.9,ID,1678363627
254,dahuk,36.8695,42.994,57.61400000000003,53,100,2.25,IQ,1678363630
255,cap malheureux,-19.9842,57.6142,83.46200000000006,79,57,2.24,MU,1678363633
256,belaya gora,68.5333,146.4167,-28.191999999999936,100,39,1.01,RU,1678363635
257,fairbanks,64.8378,-147.7164,30.164000000000033,90,100,5.14,US,1678363444
258,reo,12.3167,-2.4667,98.816,5,74,2.75,BF,1678363637
259,saint-leu,-21.15,55.2833,83.31800000000008,92,69,6.29,RE,1678363639
260,deputatskiy,69.3,139.9,-29.91999999999996,94,31,1.85,RU,1678363641
261,nagato,34.3833,131.2,55.79600000000005,86,81,4.75,JP,1678363643
262,rosa zarate,0.3333,-79.4667,71.72600000000008,98,100,1.11,EC,1678363644
263,khandyga,62.6667,135.6,-5.367999999999981,90,96,1.85,RU,1678363646
264,belen,36.4891,36.2233,59.14400000000008,48,40,10.8,TR,1678363647
265,ketchikan,55.3422,-131.6461,33.78200000000002,74,0,3.09,US,1678363649
266,tomatlan,19.9333,-105.25,60.13399999999999,79,85,1.52,MX,1678363650
267,cassilandia,-19.1133,-51.7342,74.62400000000001,86,100,2.33,BR,1678363452
268,svetlogorsk,52.6333,29.7333,32.72000000000006,96,100,4.31,BY,1678363653
269,khovu-aksy,51.1333,93.6,11.696000000000048,78,60,0.97,RU,1678363655
270,tangshan,39.6333,118.1833,59.504000000000055,24,33,1.08,CN,1678363657
271,bonavista,48.6499,-53.1147,30.668000000000085,78,93,12.42,CA,1678363659
272,kavieng,-2.5744,150.7967,81.44600000000005,75,100,1.87,PG,1678363660
273,esna,25.2934,32.554,82.74199999999999,14,0,2.98,EG,1678363661
274,batagay,67.6333,134.6333,-30.909999999999982,99,13,1.38,RU,1678363663
275,peace river,56.2501,-117.286,-6.2679999999999865,99,17,1.05,CA,1678363664
276,broome,42.2506,-75.833,28.616000000000007,85,100,3.09,US,1678363666
277,cururupu,-1.8283,-44.8683,79.934,88,75,1.53,BR,1678363667
278,arman,59.7,150.1667,-9.669999999999959,97,60,2.36,RU,1678363669
279,vila velha,-20.3297,-40.2925,84.14600000000004,81,75,4.12,BR,1678363659
280,liku,-0.7275,119.8922,75.59600000000005,93,93,0.35,ID,1678363672
281,battle creek,42.3212,-85.1797,33.854000000000056,38,75,3.09,US,1678363673
282,clonmel,52.355,-7.7039,41.05400000000005,100,100,2.99,IE,1678363674
283,lamu,-2.2717,40.902,83.96600000000001,67,80,7.35,KE,1678363676
284,torbay,47.6666,-52.7314,33.58399999999999,87,75,16.98,CA,1678363569
285,caravelas,-17.7125,-39.2481,82.86800000000008,65,97,1.64,BR,1678363680
286,whyalla,-33.0333,137.5833,67.02800000000006,69,0,7.09,AU,1678363682
287,forio,40.7342,13.8646,61.43000000000004,89,16,1.34,IT,1678363684
288,port hedland,-20.3167,118.5667,87.85400000000006,74,46,5.14,AU,1678363687
289,ban nahin,18.2418,104.2122,80.24000000000002,45,15,2.35,LA,1678363688
290,moerai,-22.4333,-151.3333,81.42800000000007,79,70,2.98,PF,1678363653
291,naze,28.3667,129.4833,59.018000000000086,79,100,3.31,JP,1678363691
292,lata,40.1629,-8.3327,62.07800000000007,82,63,6.14,PT,1678363693
293,santa cruz de la palma,28.6835,-17.7642,71.74400000000007,64,20,4.12,ES,1678363695
294,portland,45.5234,-122.6762,42.08000000000004,78,100,2.24,US,1678363162
295,quatre cocos,-20.2078,57.7625,83.08399999999999,77,72,5.74,MU,1678363697
296,labrea,-7.2586,-64.7981,75.59600000000005,91,100,1.61,BR,1678363699
297,coquimbo,-29.9533,-71.3436,64.13000000000004,94,20,1.03,CL,1678363402
298,laxou,48.6832,6.148,53.42000000000006,85,100,6.69,FR,1678363703
299,trairi,-3.2778,-39.2689,80.85200000000007,83,90,4.71,BR,1678363474
300,raudeberg,61.9875,5.1352,27.86000000000008,70,52,6.47,NO,1678363706
301,sisimiut,66.9395,-53.6735,7.736000000000068,88,27,4.29,GL,1678363709
302,mogok,22.9167,96.5,70.03399999999999,35,95,0.83,MM,1678363603
303,luanda,-8.8368,13.2343,86.0,62,40,5.66,AO,1678363712
304,diamantino,-14.4086,-56.4461,75.05600000000003,89,93,2.46,BR,1678363713
305,vitina,43.2375,17.4839,60.36800000000009,83,99,4.18,BA,1678363716
306,san rafael del sur,11.8485,-86.4384,74.91200000000006,72,100,3.95,NI,1678363718
307,saldanha,-33.0117,17.9442,63.57200000000004,85,91,4.75,ZA,1678363719
308,vardo,70.3705,31.1107,15.782000000000018,79,20,9.77,NO,1678363721
309,sechura,-5.5569,-80.8222,77.37800000000007,80,100,2.23,PE,1678363723
310,port elizabeth,-33.918,25.5701,78.09800000000003,69,0,4.92,ZA,1678363725
311,leh,34.1667,77.5833,20.372000000000035,56,0,0.47,IN,1678363667
312,ust-ishim,57.6935,71.1665,24.60200000000008,92,100,4.18,RU,1678363727
313,jackson,42.4165,-122.8345,37.04000000000002,82,100,0.0,US,1678363459
314,luderitz,-26.6481,15.1594,72.12200000000004,60,0,7.8,NA,1678363730
315,yulara,-25.2406,130.9889,72.86000000000008,29,0,4.1,AU,1678363731
316,bibai,43.3247,141.8586,34.98800000000004,89,100,2.34,JP,1678363733
317,mitsamiouli,-11.3847,43.2844,83.89400000000008,69,65,5.92,KM,1678363735
318,sorong,-0.8833,131.25,81.10400000000006,78,13,3.19,ID,1678363736
319,havoysund,70.9963,24.6622,21.43399999999999,85,100,4.73,NO,1678363737
320,pisco,-13.7,-76.2167,75.25400000000005,83,75,1.03,PE,1678363547
321,camacha,33.0833,-16.3333,67.424,78,40,5.14,PT,1678363740
322,coahuayana,18.7333,-103.6833,64.90400000000005,87,3,1.64,MX,1678363741
323,andreyevo,55.9465,41.1505,29.804000000000052,90,91,4.32,RU,1678363743
324,manaure,11.7751,-72.4445,75.16400000000003,84,99,4.34,CO,1678363746
